title,link
Uber Torches 2026 AI Budget on Claude Code in Four Months,https://www.briefs.co/news/uber-torches-entire-2026-ai-budget-on-claude-code-in-four-months/
briefs.co,from?site=briefs.co
Ask HN: Who is hiring? (May 2026),item?id=47975571
"whohas – Command-line utility for cross-distro, cross-repository package search",https://github.com/whohas/whohas
github.com/whohas,from?site=github.com/whohas
Flock cameras keep telling police a man who doesn't have a warrant has a warrant,https://www.youtube.com/watch?v=nHwxV0Sd9V8
youtube.com,from?site=youtube.com
Ask HN: Who wants to be hired? (May 2026),item?id=47975570
"Sally McKee, who coined the term ""the memory wall"", has died",https://www.online-tribute.com/SallyMcKee
online-tribute.com,from?site=online-tribute.com
Understand Anything,https://github.com/Lum1104/Understand-Anything
github.com/lum1104,from?site=github.com/lum1104
Show HN: My Private GitHub on Postgres,https://github.com/calebwin/gitgres
github.com/calebwin,from?site=github.com/calebwin
Running Adobe's 1991 PostScript Interpreter in the Browser,https://www.pagetable.com/?p=1854
pagetable.com,from?site=pagetable.com
An open letter asking NHS England to keep its code open,https://keepthingsopen.com
keepthingsopen.com,from?site=keepthingsopen.com
AI Uses Less Water Than the Public Thinks,https://californiawaterblog.com/2026/04/26/ai-water-use-distractions-and-lessons-for-california/
californiawaterblog.com,from?site=californiawaterblog.com
"I'm Peter Roberts, immigration attorney who does work for YC and startups. AMA",item?id=47975676
Your Website Is Not for You,https://websmith.studio/blog/your-website-is-not-for-you/
websmith.studio,from?site=websmith.studio
AWS stops billing Middle East cloud customers as repairs to war damage drag on,https://arstechnica.com/gadgets/2026/05/amazon-stuck-with-months-of-repairs-after-drone-strikes-on-data-centers/
arstechnica.com,from?site=arstechnica.com
The Gay Jailbreak Technique,https://github.com/Exocija/ZetaLib/blob/main/The%20Gay%20Jailbreak/The%20Gay%20Jailbreak.md
github.com/exocija,from?site=github.com/exocija
Spotify adds 'Verified' badges to distinguish human artists from AI,https://www.bbc.com/news/articles/c5yerr4m1yno
bbc.com,from?site=bbc.com
Advanced Quantization Algorithm for LLMs,https://github.com/intel/auto-round
github.com/intel,from?site=github.com/intel
"New copy of earliest poem in English, written 1,3k years ago, discovered in Rome",https://www.tcd.ie/news_events/articles/2026/caedmons-hymn-discovery/
tcd.ie,from?site=tcd.ie
"Show HN: Loopsy, a way for terminals and AI agents on different machines to talk",https://github.com/leox255/loopsy
github.com/leox255,from?site=github.com/leox255
Engineering tough blood clots for rapid haemostasis and enhanced regeneration,https://www.nature.com/articles/s41586-026-10412-y
nature.com,from?site=nature.com
Shai-Hulud Themed Malware Found in the PyTorch Lightning AI Training Library,https://semgrep.dev/blog/2026/malicious-dependency-in-pytorch-lightning-used-for-ai-training/
semgrep.dev,from?site=semgrep.dev
OpenWarp,https://openwarp.zerx.dev
zerx.dev,from?site=zerx.dev
Show HN: Perfect Bluetooth MIDI for Windows,item?id=47972888
Opus 4.7 knows the real Kelsey,https://www.theargumentmag.com/p/i-can-never-talk-to-an-ai-anonymously
theargumentmag.com,from?site=theargumentmag.com
Grok 4.3,https://docs.x.ai/developers/models/grok-4.3
x.ai,from?site=x.ai
Maladaptive Frugality,https://herbertlui.net/maladaptive-frugality/
herbertlui.net,from?site=herbertlui.net
The X-Files Has Made Me Nostalgic for a Time I Never Experienced,https://midnightmurmurations.substack.com/p/the-x-files-has-made-me-nostalgic
midnightmurmurations.substack.com,from?site=midnightmurmurations.substack.com
"Softmax, can you derive the Jacobian? And should you care?",https://idlemachines.co.uk/essays/softmax
idlemachines.co.uk,from?site=idlemachines.co.uk
How an oil refinery works,https://www.construction-physics.com/p/how-an-oil-refinery-works
construction-physics.com,from?site=construction-physics.com
"Show HN: WhatCable, a tiny menu bar app for inspecting USB-C cables",https://github.com/darrylmorley/whatcable
github.com/darrylmorley,from?site=github.com/darrylmorley
